what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1472650306212
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1472650306212
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1472650306212
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1472650306212
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1472650306212
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1472650306212
os,sysinfo,,,"win32",1472650306212
arch,sysinfo,,,"x86",1472650306212
ws,sysinfo,,,"win32",1472650306212
locale,sysinfo,,,"zh_CN",1472650306212
processors,sysinfo,,,"4",1472650306212
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1472650306212
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1472650306212
java.specification.name,sysinfo,,,"Java Platform API Specification",1472650306212
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1472650306212
java.specification.version,sysinfo,,,"1.6",1472650306212
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1472650306212
java.version,sysinfo,,,"1.6.0_20",1472650306212
java.vm.info,sysinfo,,,"mixed mode, sharing",1472650306212
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1472650306212
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1472650306212
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1472650306212
java.vm.specification.version,sysinfo,,,"1.0",1472650306212
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1472650306212
java.vm.version,sysinfo,,,"16.3-b01",1472650306212
