what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1521952315316
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1521952315316
java.specification.version,sysinfo,,,"1.6",1521952315316
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1521952315316
java.version,sysinfo,,,"1.6.0_20",1521952315316
java.vm.info,sysinfo,,,"mixed mode, sharing",1521952315316
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1521952315316
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1521952315316
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1521952315316
java.vm.specification.version,sysinfo,,,"1.0",1521952315316
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1521952315316
java.vm.version,sysinfo,,,"16.3-b01",1521952315316
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1521952316379
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1521952316673
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1521952415051
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1521952417598
activated,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1521952428194
activated,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1521952429851
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1521952432775
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1521952433117
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1521952433119
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1521952433121
